0:   0000000000000042
1:   0000000f5de81600
2:   93ef1b33eeb49a04
3:   0c41f0e99adf5e1c
4:   211e8fa68d35aac4
5:   d1eba99e1b1e535c
6:   2aa4b22d04f2df84
7:   ae5158c0a86a449c
8:   bef73fe5aee2f844
9:   b0a77f07e50271dc
10:   3b5807a16340b504
11:   de632c5f96021b1e
12:   0ecc5c7efd806a16
13:   9163d3332574429a
14:   94c7753d515f5636
15:   1c9a831ac21df77a
16:   bc8260f6f17c0856
17:   46485bd54eb4165a
18:   6be5ac6b70b3a076
19:   a8efafe78a827f3a
20:   ed8fe872a8d93e96
21:   4e3d787a418f121a
22:   4b662c4f90d602b6
23:   ad0071d36779aefa
24:   46d936f4b8c90cd6
25:   cb1b1966bc5c35da
26:   e4ff52518c277cf6
27:   0a4b025fdbaa86ba
28:   fd37259579dc7316
29:   7f2b1661951281cc
30:   6de58d57c6a4849a
31:   646389ab81c52436
32:   a16e98065572997a
33:   977bf7e834a07656
34:   9bd1a4ad0f7f185a
35:   a159ac0719d4ae76
36:   4a6adcb9ab75e13a
37:   ed4bda308ed4ec96
38:   c95e46a4cebcd41a
39:   601bdc1c3c2a50b8
40:   874b3e4dff8965ae
41:   8708a2daaba913c2
42:   ded83ab1b3ea9e4e
43:   f9972072413fe022
44:   ec8103b0da0df4ee
45:   3f1509bd2ad17e82
46:   c7ec922389c1098e
47:   3ce864fe8f3d4ee2
48:   7630ec0bd4df7c2e
49:   8ec55a5a77c4b146
50:   d4b73c28405e14ea
51:   dd86cf4e81d73666
52:   3b6a5299992af8ca
53:   9bc8803f50003186
54:   3533a26303b116aa
55:   b3f59a5fa5fdc2a6
56:   a052081b1f634e8a
57:   3d30645944b409f8
58:   cc0a014117f9f5ce
59:   3af26db73bb644a2
60:   223082971397b46e
61:   96c4876f21b0bb02
62:   47db64095498b10e
63:   680b2daa884de362
64:   7056c1798e808bae
65:   ee008e4974671dc2
66:   784da3bf2900e44e
67:   1cc62fbc2417ca52
68:   3e94f4905d9f3c48
69:   a3789e81103b75f8
70:   bdbfa44b7be5e9c8
71:   a2d7930388113478
72:   ce619fe7840f1f48
73:   398cfad6f468aaf8
74:   406b9f1946f45cc8
75:   370a4c0faa345978
76:   fef2e4d770372248
77:   f1ac7680c9debff8
78:   a938a30cebc0efc8
79:   614ff0b405ca5e78
80:   06bec10053434548
81:   e0e42024a0d1b4f8
82:   eeb2dac1e3b7a2c8
83:   ef9f47f824c74378
84:   b7e4d1397adf8848
85:   b03e826750f58a28
86:   666a614149ca5742
87:   4aee32d7611676ce
88:   3991eb645347cba2
89:   70463e93c318656e
90:   32264a08f3df9202
91:   2f0e51d15f86920e
92:   0eeaecb6e2590a62
93:   5363768f47949cae
94:   1af59be8935d94c2
95:   ed9bff3811a4254e
96:   0a71a9cb6bd89122
97:   ff4ff162f9e4cbee
98:   14c9c185e5575f82
99:   0a9f0b32a0f4308e
