0:   0000000000000042
1:   0000000f5de81610
2:   93ef1b37a8613ab2
3:   ea4d5c66a80d0f10
4:   b182a1bca5de0974
5:   b3e73ac9284fca2c
6:   1901f8e6d22d3f34
7:   2abeccf07463c26c
8:   6c66583bbf1b88f4
9:   9167dd8e929946ac
10:   123712111b6ca6b4
11:   c35f87e33fca96ec
12:   d73e1833c7985874
13:   5ff1b2f09cbdf35e
14:   6fabd19d3bc5d394
15:   f675593b1e63910c
16:   a32f50eb6a646f54
17:   bb481e767d1f534c
18:   a91fd102c34d3f14
19:   19772f2fd8ea818c
20:   274494652ada02d4
21:   c5b3e860c1b95bcc
22:   7421f52acb387a94
23:   50f5bcbff84c223e
24:   e75c8cdcc065dbb2
25:   f7d140c1d13775de
26:   83a157e98d116512
27:   9ec98f74880df77e
28:   8a29effba9773072
29:   3bf48d771910471e
30:   27bbac37399b9dd2
31:   7f84cdf3b41d04be
32:   5640f75576d50d32
33:   1abcc94ed250d06a
34:   f5e4d7c1526d56e6
35:   a3cb3a20cfeadc4a
36:   5e14af0293c26a06
37:   c443830c9b95a22a
38:   60b19c7f8e509326
39:   54e01c2abf2c020a
40:   f420a4f57bd3f246
41:   3e448cc18012dbea
42:   0fdbec609acea766
43:   6d5271b081190fca
44:   1ce4d1685ba8d286
45:   5d651e413e577daa
46:   9440f99183d093a6
47:   fd9e027d4311058a
48:   fb182cdc66da0ac6
49:   b95942d4f992876a
50:   c9cfc81b559f57e6
51:   25c1456bf512e36e
52:   2d7cdd1bc52503aa
53:   2e06156dfb2b3da6
54:   4c1f6d6a54afab8a
55:   34ad52f0ed2c94c6
56:   9fc752d6cab84d6a
57:   fbbf2c8af7e3c1e6
58:   8e1a7c192495c94a
59:   3b33c30d5570e506
60:   df09457a9268ff2a
61:   758de3d9077a1db3
62:   41f21f23ae740dd2
63:   cedcb2a10e681473
64:   60309f1853294cc5
65:   4eaa16d272368b5a
66:   9793f4cdbb96d33c
67:   9234a30f09e51e54
68:   166e1509a9ba1c8a
69:   5b8a31b9779fabf8
70:   34277725de3f63d0
71:   f818718a139ddab0
72:   31d73c9d35bfdad0
73:   e4ac418d6c071bb0
74:   336801c3c7eaa1d0
75:   a815de89e2388cb0
76:   804700b7006eb8d0
77:   23b1328b7dfb2db0
78:   59ad1fd9afcb1fd0
79:   6355343028c7fec7
80:   70e10d860d36fd37
81:   b282c487c0645283
82:   93a758e33fa79f95
83:   ee16ab0e5822ef13
84:   9a89110d2c078796
85:   ac4614e1476d10ae
86:   7d5f6ef925d0c0c2
87:   e8c47ca76b82594e
88:   fa393a677df3fd22
89:   fbef425413dcc01e
90:   f508fb0b36aced3d
91:   63ae7526b79e9e85
92:   c7d1c4e6316d47b1
93:   7bf7f08e80089fd7
94:   94d306f302b204e1
95:   c50f96fc5511ac27
96:   abf67b54d1c87b11
97:   ee6db3d0e0d0c777
98:   645a17ab4daf5a41
99:   8d17f644c31cc1c7
100:   c24efdcb75665271
101:   34deafc095d36b17
102:   45269f59a41e13a1
103:   e28abf9122299367
104:   5d21e3e826684dd1
105:   e4438e5554fb0ab7
106:   d61333e00867b101
107:   d82a25edc21aa13a
108:   c7d78bd6acd62ca7
109:   24358c61128cfeba
110:   0fe716d0dcbdbb17
111:   a3d6f22497a643a1
112:   2ee80a4420c2e367
113:   40faa95c35b97df5
114:   b257758711d7c353
115:   b77e40955df3d545
116:   e9eb570d2a7546e3
117:   7ed456bfa8b20e35
118:   5f6e1ebcdef63573
119:   8544bd8607163425
120:   c8af51a19c029f03
121:   2d6134beae58b715
122:   9e2a3a58be859393
123:   327d042043870705
124:   f1a55002c43d2323
125:   d18b82cbcf7393f5
126:   776fd3e4574a5db3
127:   98bb9e73afa5cde5
128:   333b7df444c15343
129:   68cd1a6af44a24d5
130:   3f1828c66e3913d3
131:   0c9b264d9b2208fa
132:   b1e773131d6782eb
133:   1f67c62a6580026e
134:   b9196ed09896dd04
135:   ddc92fcc16ed331c
136:   9a45ce23fda87dc4
137:   99ad757ab6c01873
138:   06613fbfc8b968ba
139:   75978d4ca798a117
140:   77605848391e8da1
141:   09e7ce10f970e967
142:   0da31b010f37a7ea
143:   8fe98e3745c83b0c
144:   83efa0a230491555
145:   b2ff426a68f6a753
146:   c996c4ac47b41145
147:   7e78f397560eeb24
148:   4f634835df9ad608
149:   5da2ae61e2ee2a5a
150:   633b68c55a122c76
151:   19c5f5a5be90533a
152:   e0de65e686820a96
153:   1029921b3a24a61a
154:   6933e6f36bb50eb6
155:   dce8e8f39b0b02fa
156:   1975654f560a58d6
157:   8eb483c2471d49da
158:   60296e10b93708f6
159:   62ba4ec6938f5aba
160:   dcb7a60298663f16
161:   68b2d45eddcf159a
162:   96a6d22af4591b36
163:   148d2adace645a7a
164:   28de1c0f5f86bd56
165:   cc7a6a7ca5d1095a
166:   f8923126d83c4582
167:   abfbf6f63eb27ace
168:   d556e7dfe5b3e7a2
169:   7ef7a6faea25296e
